,datadate,datatime,ticker,exchangecd,lastprice,volume,side
3851,20161121,14:15:21,300559,XSHE,91.2,1000,S
3852,20161121,14:15:24,300559,XSHE,91.21,400,B
3853,20161121,14:15:27,300559,XSHE,91.28,5700,B
3854,20161121,14:15:30,300559,XSHE,91.28,1000,S
3855,20161121,14:15:33,300559,XSHE,91.28,1200,S
3856,20161121,14:15:36,300559,XSHE,91.3,2400,B
3857,20161121,14:15:39,300559,XSHE,91.28,400,S
3858,20161121,14:15:42,300559,XSHE,91.3,600,B
3859,20161121,14:15:45,300559,XSHE,91.3,200,B
3860,20161121,14:15:48,300559,XSHE,91.3,561,B
3861,20161121,14:15:51,300559,XSHE,91.29,500,S
3862,20161121,14:15:54,300559,XSHE,91.3,800,B
3864,20161121,14:16:00,300559,XSHE,91.29,500,S
3865,20161121,14:16:03,300559,XSHE,91.3,1000,B
3866,20161121,14:16:06,300559,XSHE,91.3,1100,B
3867,20161121,14:16:09,300559,XSHE,91.3,1600,B
3868,20161121,14:16:12,300559,XSHE,91.3,300,B
3869,20161121,14:16:15,300559,XSHE,91.3,800,B
3870,20161121,14:16:18,300559,XSHE,91.3,1400,B
3871,20161121,14:16:21,300559,XSHE,91.3,200,B
3872,20161121,14:16:24,300559,XSHE,91.3,700,B
3874,20161121,14:16:30,300559,XSHE,91.3,800,S
3877,20161121,14:16:39,300559,XSHE,91.3,1800,S
3878,20161121,14:16:42,300559,XSHE,91.3,1200,S
3879,20161121,14:16:45,300559,XSHE,91.3,200,S
3881,20161121,14:16:51,300559,XSHE,91.3,1100,S
3882,20161121,14:16:54,300559,XSHE,91.3,500,S
3883,20161121,14:16:57,300559,XSHE,91.31,100,B
3884,20161121,14:17:00,300559,XSHE,91.3,500,S
3885,20161121,14:17:03,300559,XSHE,91.3,896,S
3887,20161121,14:17:09,300559,XSHE,91.35,1000,B
3888,20161121,14:17:12,300559,XSHE,91.35,500,S
3889,20161121,14:17:18,300559,XSHE,91.35,500,S
3890,20161121,14:17:24,300559,XSHE,91.35,200,S
3891,20161121,14:17:27,300559,XSHE,91.36,1900,B
3892,20161121,14:17:30,300559,XSHE,91.36,700,B
3893,20161121,14:17:33,300559,XSHE,91.35,100,S
3894,20161121,14:17:36,300559,XSHE,91.36,1000,B
3895,20161121,14:17:39,300559,XSHE,91.36,1200,S
3896,20161121,14:17:42,300559,XSHE,91.36,500,S
3897,20161121,14:17:48,300559,XSHE,91.39,100,B
